"","x"
"1"," 
										어 형 싱글이야 
									"
"2"," 
										혼자왔니?
									"
"3"," 
										
									"
"4"," 
										정말 재밌게 본영화장첸역의 윤계상은 조연들보다 연기가 구림
									"
"5"," 
										
									"
"6"," 
										정말 재밌고 잘만들었다. 왜 깜짝흥행했는지 알겠음.  포스터는 구린데 영화는 진짜 잘만들었음연기들 진짜 잘한다. ㅋㅋㅋ 조선족들 왜케 웃기냐 ㅋㅋㅋ 중국 공안 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
									"
"7"," 
										시간 때우기 좋은 오락액션영화
									"
"8"," 
										
									"
"9"," 
										장첸이 너무 약하고 그 수하가 무지쎔
									"
"10"," 
										마동석을 보러갔다가 배우 윤계상을 발견했어요ㅋㅋ생각보다 굉장히 카리스마있고 연기도 잘하는 거 알게되었어요다만 조선족이 너무 폭력적으로 묘사되어   두려움이 생겨요.ㅠㅠ개인적으로 정말 재미있게 본 영화였어요잔인하니 잔인한거 못보시는 분들에게는 조심스럽게 비추천합니다..
									"
"11"," 
										이영화보고  윤계상오빠한테 빠졌어요..ㅜ ㅜ 
									"
"12"," 
										조선족을 주제로 했기 때문에 흥미로웠던거지, 완성도가 떨어지는 작품
									"
"13"," 
										영화는 재밌게 봤지만 이게 실화라면 참 무섭고 답답한 현실... 마동석의 원맨쇼인 듯 보이지만 윤계상의 연기변신이 제일 놀랍다
									"
"14"," 
										폭력의 신세계
									"
"15"," 
										니들~~~황해 못봤니?
									"
"16"," 
										아무생각없이 재밌음
									"
"17"," 
										
									"
"18"," 
										보다 조폭을 잔인하게 경찰이 손목아지를 자를 정도는 되야
									"
"19"," 
										도끼들고 사람 팔다리 자르는 짐승들을 맨손으로 잡는 슈퍼 히어로 경찰들이네..저런 광견들은 현장사살하는게 답인데.."
"20"," 
										
									"
"21"," 
										굿
									"
"22"," 
										우리나라 사람들 사이코패스들이 많나?? 영화가 그냥 짜증나지 않냐?? 그리고 이게 사실이면 우리나라 경찰들 문제 있는거 아니냐? 칼들고 도끼들고 사람죽이는 범죄자 짱꼴라들을  주먹으로 응징한다??ㅎㅎㅎ 
									"
"23"," 
										
									"
"24"," 
										왜이렇게 잔인하지..왜 천만.... 잔인히기만..통쾌할줄 알았는데 우웻..기승전잔인함  시간아깝다.이딴 영화가 흥행했다니
									"
"25"," 
										절대악 소탕은 영화의 최고의 소재다
									"
"26"," 
										연기도 좋고 시나리오도 좋고 구성도 좋고  마지막 하이라이트인 액션신이 그렇게까지 허접하지만 않았으면  최고의 오락액션영화로 꼽았을듯.
									"
"27"," 
										
									"
"28"," 
										
									"
"29"," 
										막장 조폭영화가리봉동 홍보영화윤계상의 하정우 따라하기
									"
"30"," 
										주조연 그밖의 배역들  연기에  최선을 다함
									"
"31"," 
										
									"
"32"," 
										실화타령 이제그만
									"
"33"," 
										영화 잘 빠졌네요. 주조연 가릴 것 없이 연기도 좋고요. 잔인한 부분이 청불치고 적어서 조금만 걷어내면 15세도 충분히 받았을 듯 싶은데 아쉽네요. 중간중간 마동석씨 허무개그? 도 포인트구요 ㅋ
									"
"34"," 
										
									"
"35"," 
										조선족들 응징하는 맛에 2시간이 2분처럼 느껴졌다.동포라고 나불대는 중국인들은 부들부들 거리며 평점 테러를 가하겠지만한국인의 입장에서 보면 얼마나 오원춘 같은 조선족들이증오와 미움의 대상인지 19세 영화임에도 700만에 가까운 관객수가 이를 증명해준다.범죄도시2가 다시 꼭 나와 이번에는 대림동에 있는 조선족들을 응징해주길 기원한다.동포라고 포장되기 전에 이상한 억양으로 한국말만 할줄아는 한국인'척' 하는 중국인들 말이다.
									"
"36"," 
										오랜만에 제대로 된 한국 액션영화를 본 느낌. 마동석과 윤계상의 카리스마에 압도 당했습니다. 그리고 배우들의 지나가는 듯한 대사들도 저는 참 재미있게 봤습니다. 무게잡고 멋있어 보일라는 대사들로 오글거리는 영화보다 마동석 영화처럼 그냥 서스름없이 지나가는 말투의 대사들이 참 신선하면서도 귀에 착착 감기네요. 2시간동안 시간 가는줄 모르고 봤네요. 
									"
"37"," 
										
									"
"38"," 
										최고
									"
"39"," 
										
									"
"40"," 
										왜 내라고만 생각합니까~ 미치겠다~ 오락영화에 의미부여하지말고 2시간 즐겼으면 그걸로 됐다~
									"
"41"," 
										
									"
"42"," 
										최고임
									"
"43"," 
										사람 때리고 죽이고,약자 괴롭히고,그런걸 자세히 보여주는 것도 폭력 관음증이고 포르노다. 멋있는척 하며 나쁜 놈 연기하든그런 멋있는 나쁜 놈을 잡은 멋진 주인공이든다 징그럽고 무서울 뿐이다.영화적 재미로 보기에는너무 저급하고 원초적이고 비인간적인 재미다.
									"
"44"," 
										비현실적 인물을 등장시켜 통쾌함을 주려고 하지만 치밀하고 연기력도 탄탄해서 아름다움과 재미가 있다. 양태역의 배우는 화면에 녹아있어 존재를 찾기에는 한 번 감상으로는 부족하다. 
									"
"45"," 
										뭔 놈의 범죄  마약 살인 강도 폭력  투성이냐 이놈의 한국영화는
									"
"46"," 
										
									"
"47"," 
										
									"
"48"," 
										
									"
"49"," 
										여행갈때필수집에서심심할때필수초l신영호ㅏ무료ㄷL운 복사>>> me2.do/FRd8DNL3
									"
"50"," 
										잔인함..윤계상 연기 어설픔..그나마 공항 화장실 격투 씬..이 좀 살림..
									"
"51"," 
										
									"
"52"," 
										그냥 마동석 보는 재미는 있다
									"
"53"," 
										포르노가 만연하는 대중문화라는 것이 얼마나 생각하길 거부하는지를 알 수 있는가를 증명하는 많은 영화 중에 하나다른 조폭영화들처럼 당신이 포르노를 즐긴다면 즐길 수 있는 영화"
"54"," 
										넘재미나요
									"
"55"," 
										그냥 킬링타임 그 이상도 이하도 아닌...
									"
"56"," 
										
									"
"57"," 
										이런 류의 영화가 그렇듯이 새로운 재미를 찾긴 힘들다. 그래도 자연스럽게 따라가다보면 잔가지가 없어 적절한 액션을 통해 통쾌한 재미를 준다. 
									"
"58"," 
										
									"
"59"," 
										재미있어요
									"
"60"," 
										꿀잼이 정도는 돼야쥐  
									"
"61"," 
										진짜 재밌게 봤어요 3번봤는데 또 보고 싶네요
									"
"62"," 
										이젠 하다하다 캐릭터 만들게 없어서 사이코패스 짱개를 주인공으로 하냐?
									"
"63"," 
										마동석 윤계상 독보적이다
									"
"64"," 
										마동석만 할수있는 강력한 무기 팔뚝의 힘이 최고죠^^
									"
"65"," 
										독보적인 마초 캐릭터를 완성한 마동석
									"
"66"," 
										끝내주게 본 1인
									"
"67"," 
										스토리가 안습.각 장면 개연성도 없고 그냥 조선족혐오 캠페인영화그마마 마동석 아니었으면 별 4개도 아까울 뻔....
									"
"68"," 
										
									"
"69"," 
										다운받아놓고, 이제서야 봤는데 너무 재밌게봤어요. 다들 연기 잘하시고, 마동석배우님은 매번 든든하고 귀엽기만 하세요..ㅎㅎ힘들고 어려운 강력반형사님들 화이팅입니다. "
"70"," 
										혼자니?
									"
"71"," 
										
									"
"72"," 
										윤계상씨의 연기성장에 놀란 영화!연변사투리 지적이 있긴하지만, 경상도 사투리 제대로 하는 연기자도 없는 상황에 저정도면 굿~조선족 나쁜놈 연기하기에 너무 잘생겨서 동정유발도 모자라 먼가 사연이 있어서 저리 됐을거란 생각까지 하게 만든 얼굴.윤계상씨 앞으로의 작품도 기대할께요~^^*
									"
"73"," 
										
									"
"74"," 
										걍 조폭 오락영화 나름 재미있습니다. 윤계상씨 연기 괜찮네요.
									"
"75"," 
										워낙 유명해진 영화라서 보게되었습니다보는내내 화가나게하더니화장실에서 통쾌하게 찌그러지네요ㅎㅎㅎㅎ러시아언니의 대사도 넘나 웃겼습니다밤새 즐기고 술먹고  ... 룸에서 자고있던 마씨에게ㅎㅎㅎㅎㅎ뒤끝없이 딱 보고 나오기 좋았습니다~"
"76"," 
										오락영화로만 본다면 괜찮은 편에 속함
									"
"77"," 
										
									"
"78"," 
										
									"
"79"," 
										
									"
"80"," 
										아무생각없이 그냥 볼려다 완전집중했음잠이다달아나는영화임
									"
"81"," 
										마동석의 마동석에 의한 마동석을 위한 영화!!재미로만 보자면 최고네요~
									"
"82"," 
										
									"
"83"," 
										진자재밌다 지루할틈한번도없었음
									"
"84"," 
										작품성이 높다할순 없다. 조선족 편견을 심어주는 악덕스러운 부분.. 그러나 재미로만 본다면, 이보다 더 유쾌통쾌한 마블리한 영화가 또 있을까 싶다!
									"
"85"," 
										완전 재미
									"
"86"," 
										재미없음
									"
"87"," 
										
									"
"88"," 
										매우잘
									"
"89"," 
										
									"
"90"," 
										그냥 조선족 혐오만 생길거 같은 영화..마동석 아니였으면 이정도 흥행도 못했다.
									"
"91"," 
										
									"
"92"," 
										최고
									"
"93"," 
										너무 쑤셔대니까 나중에는 시시함 ㅋㅋ 이거보다 예전 영화 와일드카드가 낫다
									"
"94"," 
										액션 짱
									"
"95"," 
										.... 모든 것이 과하네!
									"
"96"," 
										
									"
"97"," 
										너무 잔인하고 구성은 단순하다.
									"
"98"," 
										
									"
"99"," 
										마동석도 국내 조폭두목 장사장과 가까우니 떄가 묻은 형사. 그리고 조선족 두목들은 왜  부하는 뒷전에 두고 꼭 나서다 칼질당하니? 내가 누군지 아니? 이러면서
									"
"100"," 
										간만에 재밌게 본 영화
									"
"101"," 
										이게 천만 못넘은게 배역 윤계상이다 악역을 저런 약꼴로 출연시켰는지.. 마지막 격투신도 아무리 영화라지만 상대악역이 마동석이 한주먹거리라도되냐?
									"
"102"," 
										
									"
"103"," 
										실제 강력사건을 극화해 대중적인 형사물로 풀어냈다는 점, 대한민국 공권력의 마스코트가 된 마동석을 “한국형 슈퍼영웅 형사 캐릭터”로 만들어냈다는 점에, 이 영화의 의의가 있다. 매력적인 주조연 배우들의 열연, 즉흥적이고 위트넘치는 대사들도 맛깔나다. 사실, 이 작품의 진정한 의미는 “대한민국 공권력의 명예회복”과 “대한민국 자존심의 부활”이다. 2010년 벽두의 <황해>에서 “부패한 공권력과 치졸한 자본가와 유치한 치정에 놀아나며, 조선족에게 점령당한 범죄도시”로 그려졌던 서울을, “슈퍼영웅 형사들의 조선족 본거지 가리봉 소탕대첩”으로 탈환한 것!그렇지만, 애초부터 <황해>를 의식하고 만들었음에도, <황해>만큼의 “강렬한 캐릭터, 예리한 풍자, 독창적 마력”이 없다는 것이 문제! 결국, 무능한 공권력 대신 한국사회의 부조리들을 통쾌하게 해결해줄 영웅을 갈망하는 국민들의 민심이, 이 작품을 성공시킨 것이다. "
"104"," 
										잔인한거빼곤 최고!! 어나싱글이야ㅋㅋㅋㅋ마동석에의한마동석을위한영화 알럽동석씨ㅋㅋㅋㅋ
									"
"105"," 
										순사와 깡패역을 바꿨어도 좋았지 싶다.영 순사 얼굴은 아니야.
									"
"106"," 
										
									"
"107"," 
										재밌게 봤어요!
									"
"108"," 
										윤계상 악역연기 정말 굿"
"109"," 
										배우들 연기가 대단함!
									"
"110"," 
										간만에 시어언흐다
									"
"111"," 
										
									"
"112"," 
										연변 사투리... 연습 더 해라
									"
"113"," 
										
									"
"114"," 
										이야 ㅎㄷㄷ 하네 진짜
									"
"115"," 
										기대이하떠드는 말들이 거품 이라는걸 알아 버렸음
									"
"116"," 
										
									"
"117"," 
										의외로 유머가 웃겼는데 전체적으론 뒷심부족 연변사투리 할려면 확실히 해라 어설픔
									"
"118"," 
										
									"
"119"," 
										
									"
"120"," 
										
									"
"121"," 
										단순 오락영화로서 재미있었습니다. 이 영화보고 조선족에 대한 편견을 갖을 필요는 없고, 그냥 이런 일도 있을 수 있겠구나 하고 보면 될 듯합니다.
									"
"122"," 
										
									"
"123"," 
										필요 이상의 폭력, 화면 가득한 피비린내.
									"
"124"," 
										윤계상  멋있고 마동석은 마마 연기 짱
									"
"125"," 
										마동석의 카리스마와 액션과 윤계상의 악역이 다 했다.
									"
"126"," 
										살짝 아쉬운 스토리텔링. 전체적으로 몰입도는 최강.
									"
"127"," 
										마동석이야 원래 연기 잘하고 윤계상 와.... 배우네 배우. 실화라니 그 동네 경찰분들 진짜 고생많으심. 남의 나라와서 범죄저지르는 놈들 더 강하게 처벌하길 바란다.
									"
"128"," 
										지금 우리나라에 와 있는 화교들을 조심하/ 혼자 왔니? 지금도 있는 조선족 범죄자들 다 소탕하길 바란다. 금천경찰서 형사 분들의 수고의 박수를 보내며 
									"
"129"," 
										에이 영화 드럽다.
									"
"130"," 
										몰입감 최고~
									"
"131"," 
										조연 재조명.
									"
"132"," 
										(실화)란게? 더 놀랍고 무서움 잔인하고 살벌하고 유쾌하지 않지만 조선족 범죄자들 일망타진은 시원하고 통쾌했다.
									"
"133"," 
										
									"
"134"," 
										
									"
"135"," 
										마동석의 매력과 윤계상의 연기력이 빛을 발한 영화.윤계상의 성장에 그의 다음영화가 궁금해진다.더불어 일선 강력계 경찰들의 노고에도 새삼 경의를 표한다.
									"
"136"," 
										개꿀잼. 잔인한게 좀 있지만
									"
"137"," 
										다운받아 방금 전 봤는데 은근 재미있더라 ㅎㅎ
									"
"138"," 
										재미있게잘봤어요마동석씨연기하는모습멋졌어요범죄도시   대박나세요윤계상씨도멋져요"
"139"," 
										마동석. 넘 멋찌심~~^^영화잼나게 봤어요
									"
"140"," 
										재미있다. 정말 재미있다. 
									"
"141"," 
										
									"
"142"," 
										미동석의 SNL 버전 주인공 영화단순한 내용에 시원한 전개, 폭력성은 참고해야 함
									"
"143"," 
										
									"
"144"," 
										연기구멍이 없다...ㅎㄷㄷ. 특히 조선족 깡패두목빡빡이!!!
									"
"145"," 
										스릴넘치게 잘 봤어요!마지막에 화장실에서 석도(동석)이 장첸(계상) 조지는거 보고 박수갈채!!!근데 실화라고 하니깐 소름 ㅠㅠ너무 무섭네요
									"
"146"," 
										단짠이 조화를 이룬 영화. 흥행 성공이 괜히 된 것이 아님. 그리고 마동석을 위한 맞춤 영화랄까...
									"
"147"," 
										재미짐. 가볍게 볼 수 있는 영화. 마동석 팔뚝이 내 허벅지보다...
									"
"148"," 
										재밌긴한대 너무너무 잔인해요. 남자인 내가 봐도 좀 그렇네요아 근데 조선족들이 이영화 상영 금지 가처분 싵청햇다면서요.."
"149"," 
										역시 마요미~!  욕이나 말투 하나하나가 다 쫙쫙 붙는다!  ㅋ
									"
"150"," 
										인간병기 마동석.
									"
"151"," 
										-자국민 보호를 위해서, 중국 조폭, 조선족 조폭은 총살 시켜야지요.. 왜 징역형을 때립니까..
									"
"152"," 
										꿀잼 ㅋㅋ 근데 마동석 완전 깡패처럼 보엿음 ㅋㅋㅋ 뭐?이개새꺄? 할때 ㅋㅋㅋ 진짜 ㅋㅋ 그리고 한대 때린건데 상대방이 쓰러질정도여서 ㅋㅋㅋ
									"
"153"," 
										
									"
"154"," 
										마동석 개멋져용♡♡
									"
"155"," 
										침묵의 부끄러움. 주인으로서 자존심.
									"
"156"," 
										배우들 연기 정말 다들 잘하세요  
									"
"157"," 
										
									"
"158"," 
										잼나긴 했으나 욕과 징그러움이난무했다는.....
									"
"159"," 
										영화가 너무더러움
									"
"160"," 
										
									"
"161"," 
										인간에 대한 [폭력]과 [편견] 그리고[두려움]을 상업적으로 이용한, [장첸]과 그 졸개들 만큼이나 사악한 영화
									"
"162"," 
										
									"
"163"," 
										투박하지만 쾌도난마로 진격하는 쾌감의 향연
									"
"164"," 
										
									"
"165"," 
										즐겁게 잘 보았어요
									"
"166"," 
										
									"
"167"," 
										
									"
"168"," 
										
									"
"169"," 
										근래 형사물 중에서는 볼만한 영화. 영화적 완성도는 큰 기대 하지 말것
									"
"170"," 
										전라도 사투리에서 연변 사투리로 바뀌고 있는 범죄자의 언어.
									"
"171"," 
										마동석액션 속이 후련해짐
									"
"172"," 
										신파도 좀 있고 조폭형사 영화 장르의 클리셰도 많지만 이야기가 몰입도가 있다. 볼 만함.
									"
"173"," 
										두 배우가 이끌어간 이야기
									"
"174"," 
										
									"
"175"," 
										
									"
"176"," 
										배우들의 연기가 훌룡.재미나게 봤음.
									"
"177"," 
										
									"
"178"," 
										재미는 있음.
									"
"179"," 
										잼씀
									"
"180"," 
										한국영화의 나아갈 방향을 제시한 영화억지와 신파가 없는 쿨한 영화
									"
"181"," 
										스토리와 출연진들 쩔어!!대~~~박 날만한 영화임!!!!!!!!!
									"
"182"," 
										통쾌한 액션 빠른전개, 배우들 조선족연기도 볼만함 
									"
"183"," 
										다른거 다 제외하고 재미만을 기준으로 봤을때 10점만점몰입도가 매우높음
									"
"184"," 
										
									"
"185"," 
										시간 때우기용은 맞는데 8점까지는 아니다
									"
"186"," 
										넘잔인하다 이런거만들어야하나
									"
"187"," 
										빠른 전개에 가끔 웃기기도 함
									"
"188"," 
										.
									"
"189"," 
										앞으론 전문가 평점만 믿고 간다 "
"190"," 
										재밌음
									"
"191"," 
										친구와 같은 느와르를 기대한 면이 있었지만 범죄도시 나름대로 선빵한 케이스라고 본다. 리얼리티적인 요소가 조금 아깝고 시나리오 자체를 조금 더 손밨으면 하는 안타까움이 남는 영화. 윤계상은 왜 항상 10점 만점에 하나가 빠지는 영화만 찍을까? 풍산개도 그렇고 시나리오 선택을 잘해서 다음번 영화는 천만대박나길 바란다. 조연분들은 정말로 연기 잘했고 칭찬해주고 싶다.
									"
"192"," 
										선과 악, 갈등이나 감동 같은 군더더기를 생략하고 앞만 보고 나아가는 멋진 범죄 액션 영화
									"
"193"," 
										재밌는 요소들을 넣어, 호감요소를 갖춘 슈퍼맨을 만들어낸 느낌.
									"
"194"," 
										재미있음
									"
"195"," 
										elanvital님2004년 얘기라잖아요  영화볼때 잠깐 졸으셨죠? 의문하나 나라면 권총쏜다 이럼영화재미없겠지 요부분은 진짜현실성없다 
									"
"196"," 
										시원시원하다마블리의 통쾌한 무비!맘에든다!
									"
"197"," 
										바다이야기가 왜 나오니? 세상이 어떻게 돌아가는지도 모르나? 너 누기야???
									"
"198"," 
										19금 영화인데 참 19금답게 재밌다.이것도 실화를 바탕으로 한 영화라는데 참 재밌다. 영화는 재미가 있어야해 ~
									"
"199"," 
										백프로 픽션은 아니라고 본다중국 사람들 무섭~솔직히 다 내보냈으면.....
									"
"200"," 
										천하무적 악당... 천하최악 스토리...아무리 영화라도 논리적 설득력은 있어야..."
